Longitude, Latitude, Line Group (Path ID), Order of Points 
-121.82173566666668, 37.290505277777775, 1, 1 
-121.8164064761905, 37.29342476190476, 1, 2
-121.80991963636362, 37.301344, 1, 3
-121.80468235714284, 37.30691114285714, 1, 4
-121.7886484, 37.302351200000004, 1, 5
-121.77222612244896, 37.28214110204081, 1, 6
-121.83111104545455, 37.30561095454545, 1, 7
-121.8372844117647, 37.30207882352941, 1, 8
-121.8498089375, 37.299699437499996, 1, 9
-121.85624358333335, 37.31276608333334, 1, 10
-121.833551, 37.31145825, 1, 11
-121.8415931875, 37.3242465, 1, 12
-121.8439465, 37.32011058333334, 1, 13
-121.82078837499999, 37.312743687499996, 1, 14
-121.83824695652174, 37.32923939130434, 1, 15
-121.840092875, 37.3330228125, 1, 16
-121.83388933333332, 37.336090799999994, 1, 17
-121.83131166666665, 37.339974333333345, 1, 18
-121.8275640769231, 37.34366899999999, 1, 19
-121.82359847619048, 37.33198257142857, 1, 20
-121.84946608333335, 37.33348241666667, 1, 21
-121.8589779090909, 37.342258, 1, 22
-121.8531212105263, 37.34496084210527, 1, 23
-121.84498935714285, 37.349973642857144, 1, 24
-121.83911107692307, 37.345838615384615, 1, 25
-121.83422564285715, 37.355120500000005, 1, 26
-121.82713183333333, 37.3593203888889, 1, 27
-121.84720816666665, 37.355213166666665, 1, 28
-121.84674050000001, 37.361919916666665, 1, 29
-121.8413663, 37.3653341, 1, 30
-121.83531116666667, 37.368067583333335, 1, 31
-121.82837924000002, 37.37410632, 1, 32
-121.8357409310345, 37.38281472413793, 1, 33
-121.81953139215685, 37.38269166666666, 1, 34
-121.8206607826087, 37.36892508695653, 1, 35
-121.81490744827587, 37.36471027586207, 1, 36
-121.7849957962963, 37.373940805555534, 1, 37
-121.81103333333333, 37.35492241666667, 1, 38
-121.80281976470587, 37.34928394117647, 1, 39
-121.79747285714284, 37.341762214285716, 1, 40
-121.79249945454545, 37.334027818181816, 1, 41
-121.78959172727274, 37.327842727272724, 1, 42
-121.7742606190476, 37.332042809523806, 1, 43
-121.78916717647058, 37.32063576470589, 1, 44
-121.76398209803922, 37.326431196078424, 1, 45
-121.781744625, 37.3123215, 1, 46
-121.74552658490568, 37.31121554716981, 1, 47
-121.7578469, 37.29527455, 1, 48
-121.7436004, 37.28401454285714, 1, 49
-121.78720288000001, 37.3065382, 1, 50
-121.80139552631579, 37.31814168421052, 1, 51
-121.81474552631579, 37.31850768421053, 1, 52
-121.81502093333333, 37.34347006666667, 1, 53
-121.81852920000001, 37.34780299999999, 1, 54
-121.80741599999998, 37.33112199999999, 1, 55
-121.7696991136363, 37.353150954545455, 1, 56
-121.85601508333333, 37.36920491666667, 1, 57
-121.86853525, 37.372685700000005, 1, 58
-121.87199585714284, 37.386518714285714, 1, 59
-121.87793664285714, 37.383797785714286, 1, 60
-121.88783765000001, 37.3783417, 1, 61
-121.893111, 37.3942973, 1, 62
-121.9000266, 37.407963699999996, 1, 63
-121.89882746153846, 37.42116080769232, 1, 64
-121.88269923529411, 37.39936988235294, 1, 65
-121.88068999999999, 37.40977642857143, 1, 66
-121.86353112499998, 37.41729275, 1, 67
-121.85959794736839, 37.40936847368422, 1, 68
-121.85526926666665, 37.40277746666667, 1, 69
-121.87040377777777, 37.42563294444444, 1, 70
-121.84723513114754, 37.43092880327868, 1, 71
-121.87120855555557, 37.43372066666667, 1, 72
-121.881148, 37.43209227272727, 1, 73
-121.88230482352941, 37.440138352941176, 1, 74
-121.86594136923078, 37.458622230769244, 1, 75
-121.90258666666666, 37.45139900000001, 1, 76
-121.90706523076923, 37.458444923076925, 1, 77
-121.91554505555554, 37.44992966666667, 1, 78
-121.9131830625, 37.4729276875, 1, 79
-121.89675341463416, 37.48634378048781, 1, 80
-121.9277417333333, 37.50840253333333, 1, 81
-121.93139776190475, 37.52254785714287, 1, 82
-121.92925246666668, 37.53106479999999, 1, 83
-121.9437041363636, 37.53182936363637, 1, 84
-121.95088363636364, 37.54578490909091, 1, 85
-121.96133385714283, 37.53570192857143, 1, 86
-121.96811220000001, 37.542111399999996, 1, 87
-121.97268106666665, 37.53133726666667, 1, 88
-121.97688645454546, 37.54503890909091, 1, 89
-121.98566870588238, 37.55096252941176, 1, 90
-121.9786121111111, 37.540596, 1, 91
-121.98557065, 37.53914815, 1, 92
-121.9976507857143, 37.54490857142857, 1, 93
-122.0052680769231, 37.54835238461539, 1, 94
-122.00936808, 37.55459388, 1, 95
-122.0087442, 37.5372988, 1, 96
-121.99273283333332, 37.529266, 1, 97
-122.00438503333332, 37.507969333333335, 1, 98
-121.97587062500001, 37.5198764375, 1, 99
-121.96177123076924, 37.51707546153846, 1, 100
-121.9527664, 37.5189769, 1, 101
-122.01810226666666, 37.52885473333334, 1, 102
-122.02811835294118, 37.53418270588235, 1, 103
-122.034820125, 37.537253750000005, 1, 104
-122.0231505, 37.557815999999995, 1, 105
-122.03002592857145, 37.562785785714276, 1, 106
-122.04006152380956, 37.57494561904761, 1, 107
